competency,resume_text,level
"Основы глубокого обучения","3 года работы с TensorFlow/Keras: transfer learning, кастомные слои. Обучил 50+ моделей для компьютерного зрения.",2
"Глубокое обучение для анализа естественного языка","5 лет NLP: BERT, GPT, T5. Разработал чат-бота с пониманием контекста на 3 языках. Публикации на ACL.",3
"Обучение с подкреплением","1.5 года исследований: DQN, PPO. Создал агента для игры в покер. Выступал на RL-конференциях.",2
"Анализ естественного языка","9 месяцев: NLTK, SpaCy. Создал парсер резюме с извлечением навыков. Токенизация 10+ языков.",1
"Информационный поиск","6 лет поисковых систем: ранжирование, query understanding. Улучшил точность поиска на 30% для 10M документов.",3
"Массово параллельные вычисления","2 года CUDA/OpenCL: ускорил inference в 8 раз. Оптимизировал memory access pattern для CNN.",2
"Потоковая обработка данных","3.5 года Kafka/Flink: exactly-once семантика, stateful обработка. Построил систему мониторинга в реальном времени.",3
"Машинное обучение на больших данных","4 года Spark/Featuretools: обработка 10TB+ данных. Разработал фреймворк для feature engineering.",3
"Глубокое обучение для анализа изображений","1 год CV: augmentation pipelines, transfer learning. Участвовал в конкурсе Kaggle (top 20%).",1
"Работа с распределенной кластерной системой","2 года Kubernetes/YARN: автомасштабирование, распределенные тренировки. Настроил GPU-кластер для DL.",2
"Процесс, стадии и методологии разработки","Автоматизировал ML пайплайны с Airflow (8 месяцев). Настраивал CI/CD для моделей в продакшн.",1
"Hadoop, SPARK, Hive","Разрабатывал ETL-процессы в Spark 3.0 (2 года). Оптимизировал партиционирование для ускорения jobs на 40%.",2
"Рекомендательные системы","Создал систему рекомендаций для 1M пользователей (4 года). Внедрил онлайн-обучение с Apache Flink.",3
"NoSQL базы данных","Настраивал репликацию в Cassandra (1.5 года). Реализовал TTL для временных данных.",2
"Массово параллельные вычисления","Ускорял numpy-код через Numba (6 месяцев). Параллелил preprocessing с multiprocessing.",1
"Потоковая обработка данных","Разрабатывал real-time дашборды с Kafka Streams (3 года). Обрабатывал 50K событий/сек с exactly-once.",3
"Статистические методы","Применял bootstrap для оценки доверительных интервалов (9 месяцев). Визуализировал распределения.",1
"Глубокое обучение для генерации изображений","Тренировал Stable Diffusion на доменных данных (2 года). Оптимизировал latent space.",2
"Обучение с подкреплением","Реализовал DDPG для управления роботом (1 год). Кастомизировал reward function.",2
"Информационный поиск","Настраивал ElasticSearch для e-commerce (5 лет). Разработал query expansion с word2vec.",3
"Методы оптимизации","Решал задачи vehicle routing с генетическими алгоритмами (3 года). Уменьшил mileage на 18%.",2
"Анализ естественного языка","Дообучал FastText для морфологического анализа (1.5 года). Создал pipeline для 15 языков.",2
"Качество и предобработка данных","Разработал систему валидации данных с Great Expectations (2 года). Ловил 95% аномалий.",2
"Языки программирования","Портировал legacy код с Python 2 на 3 (4 года). Рефакторил 50K строк с сохранением функционала.",3
"SQL базы данных","Писал сложные CTE для финансовой отчетности (6 месяцев). Создавал материализованные view.",1
"Основы глубокого обучения","Строил image classifier на ResNet (1 год). Настраивал learning rate scheduling.",1
"Работа с распределенной системой","Администрировал YARN-кластер (3 года). Балансировал ресурсы между 100+ задачами.",2
"Машинное обучение на больших данных","Обучал LightGBM на 100M строк (5 лет). Разработал incremental learning для потоков.",3
"Оценка качества методов ИИ","Внедрил мониторинг дрейфа данных (8 месяцев). Настраивал алерты при падении точности.",1
"Методы машинного обучения","Оптимизировал Random Forest под imbalance data (2 года). Кастомизировал split критерии.",2
"Определения и тренды ИИ","Организовывал AI meetups (1 год). Провел 10+ докладов про генеративные модели.",1
"Глубокое обучение для NLP","Разрабатывал BERT-based NER для медтекстов (3 года). Достиг F1=0.92 на доменных данных.",3
"Анализ изображений и видео","Создал детектор аномалий на видео (2 года). Использовал 3D CNN и optical flow.",2
"Массово параллельная обработка","Распараллелил feature engineering на Dask (1 год). Ускорил preprocessing в 5x.",2
"Глубокое обучение","Разработал архитектуру CNN-LSTM для таймсерий (4 года). Патент на подход.",3
"Data streaming","Настраивал Kafka Connect для CDC (1.5 года). Обеспечил delivery semantics.",2
"SPARK оптимизация","Уменьшил shuffle в Spark jobs на 70% (3 года). Применял broadcast variables.",3
"NoSQL производительность","Тюнил Cassandra под write-heavy нагрузку (2 года). Оптимизировал compaction strategy.",2
"Статмоделирование","Строил Bayesian сети для прогнозирования (1 год). Использовал PyMC3.",1
"CV preprocessing","Разработал albumentations pipeline (8 месяцев). Увеличил diversity аугментаций.",1
"Определения, история развития и главные тренды ИИ","Прошел курс 'Основы ИИ' на Coursera (4 недели). Читаю статьи про ChatGPT и компьютерное зрение.",1
"Процесс, стадии и методологии разработки","Собирал Docker-контейнер для Flask-приложения. Делал коммиты в Git'.",1
"Статистические методы","Считал среднее/медиану для датасета. Строил boxplot'ы в Seaborn для анализа распределений.",1
"Оценка качества методов ИИ","Рассчитывал accuracy и precision для учебного классификатора. Строил confusion matrix.",1
"Языки программирования","Писал скрипты на Python (Pandas/NumPy). Решал задачи на LeetCode (50+ решений).",1
"SQL базы данных","Делал SELECT с JOIN в PostgreSQL. Создавал таблицы и простые индексы.",1
"NoSQL базы данных","Загружал JSON-данные в MongoDB. Писал find()-запросы с базовыми фильтрами.",1
"Hadoop, SPARK, Hive","Запускал Spark в локальном режиме. Читал CSV в DataFrame и применял filter().",1
"Качество и предобработка данных","Заполнял пропуски средним значением. Кодировал категории через OneHotEncoder.",1
"Работа с распределенной системой","Подключался к удаленному серверу по SSH. Запускал задачи в фоновом режиме.",1
"Методы машинного обучения","Обучал модель на Scikit-learn (RandomForest). Подбирал гиперпараметры через GridSearch.",1
"Рекомендательные системы","Строил рекомендации по похожим пользователям (user-based) на маленьком датасете.",1
"Методы оптимизации","Реализовал градиентный спуск для линейной регрессии. Визуализировал сходимость.",1
"Основы глубокого обучения","Обучал CNN на CIFAR-10 (точность 70%). Использовал готовые слои из Keras.",1
"Анализ изображений и видео","Применял OpenCV для распознавания лиц. Делал resize и grayscale преобразования.",1
"Машинное обучение на больших данных","Обрабатывал CSV размером 1GB с помощью Pandas с chunking.",1
"Глубокое обучение для NLP","Токенизировал тексты через NLTK. Строил word2vec на маленьком корпусе.",1
"Обучение с подкреплением","Писал агента для FrozenLake из Gym. Использовал Q-learning с таблицей.",1
"Глубокое обучение для генерации","Генерировал цифры MNIST с помощью простого GAN (базовая реализация).",1
"Анализ естественного языка","Определял тональность отзывов через LogisticRegression. Считал TF-IDF.",1
"Информационный поиск","Искал документы по ключевым словам через ElasticSearch (match_query).",1
"Массово параллельные вычисления","Запускал матричные операции на GPU через CuPy. Использовал PyTorch DataLoader.",1
"Потоковая обработка данных","Читал поток твитов через Tweepy. Сохранял в CSV порциями по 1000 записей.",1
"Массово параллельная обработка","Параллелил циклы через multiprocessing.Pool (4 ядра).",1
"Методы машинного обучения","Разрабатывал и внедрял ML-решения в production 5+ лет. Оптимизировал ансамбли моделей для задач с imbalance data, достиг стабильного прироста метрик на 25% год за годом.",3
"SQL базы данных (GreenPLum, Postgres, Oracle)","10 лет работы с распределенными SQL-системами: проектирование схем, оптимизация запросов для нагрузок >1M RPS. Архитектор СУБД в 3 крупных проектах.",3
"Глубокое обучение","7 лет промышленного опыта: разработал 50+ моделей компьютерного зрения и NLP. Создал фреймворк для автоматизации обучения нейросетей.",3
"Анализ изображений и видео","6 лет специализации: построил систему видеоаналитики для 1000+ камер. Оптимизировал 3D CNN для работы в реальном времени.",3
"Определения, история развития и главные тренды ИИ","15 лет в области: преподавал курсы по истории ИИ, опубликовал 3 обзорные работы по эволюции алгоритмов. Консультировал стартапы по стратегиям AI-adoption.",3
"Процесс, стадии и методологии разработки решений на основе ИИ","Руководил 20+ кросс-функциональными командами (8 лет). Разработал методологию MLOps для enterprise, сократив time-to-market на 40%.",3
"Статистические методы и первичный анализ данных","12 лет применения: автор книги по продвинутой статистике. Разработал систему автоматического обнаружения аномалий для финансовых данных.",3
"Оценка качества работы методов ИИ","9 лет мониторинга production-моделей: создал систему A/B-тестирования с динамическим трекингом 100+ метрик. Снизил false-positive rate на 60%.",3
"Языки программирования и библиотеки","20+ лет кодинга на Python/C++. Входил в core-команду 3 open-source библиотек. Оптимизировал критические пути в NumPy.",3
"NoSQL базы данных","8 лет работы с Cassandra/ScyllaDB: спроектировал кластер для 10B+ записей. Автор патента по оптимизации SSTable compaction.",3
"Hadoop, SPARK, Hive","7 лет Big Data: мигрировал legacy ETL на Spark, сократив costs на 70%. Разработал фреймворк для управления Spark-сессиями.",3
"Методы машинного обучения","1 год: обучал модели в Scikit-learn (логистическая регрессия, RandomForest), настраивал гиперпараметры через GridSearchCV.",1
"SQL базы данных","1.5 года: писал JOIN-запросы, создавал индексы в PostgreSQL. Работал с оконными функциями.",1
"Глубокое обучение","1 год: собирал CNN на Keras для классификации изображений. Использовал готовые архитектуры (ResNet, EfficientNet).",1
"Анализ изображений и видео","1 год: применял OpenCV для обработки изображений (фильтры, детекция границ). Работал с YOLOv3 для детекции объектов.",1
"Статистические методы","1 год: рассчитывал p-значения, строил доверительные интервалы. Визуализировал данные через Matplotlib/Seaborn.",1
"Оценка качества методов ИИ","1 год: рассчитывал accuracy, precision, recall. Строил ROC-кривые для бинарной классификации.",1
"Потоковая обработка данных","1 год: настраивал Kafka Consumer/Producer, писал простые обработчики событий.",1
"Машинное обучение на больших данных","1 год: работал с PySpark (DataFrame API), обрабатывал датасеты до 10GB.",1
"Глубокое обучение для NLP","1 год: токенизировал тексты (NLTK, SpaCy), обучал Word2Vec на небольших корпусах.",1
"Обучение с подкреплением","1 год: реализовывал Q-learning для простых сред (FrozenLake, CartPole).",1
"Методы машинного обучения","3 года: разрабатывал ансамбли моделей (Stacking, Blending), кастомизировал loss-функции для imbalance data.",2
"SQL базы данных","3 года: оптимизировал сложные запросы (CTE, материализованные представления), настраивал партиционирование.",2
"Глубокое обучение","3 года: дообучал BERT для задач классификации, работал с трансформерами (HuggingFace).",2
"Анализ изображений и видео","3 года: сегментировал медицинские снимки (U-Net), настраивал augmentation pipelines (albumentations).",2
"Статистические методы","3 года: применял bootstrap, Bayesian A/B-тестирование. Строил предсказательные модели на временных рядах.",2
"Оценка качества методов ИИ","3 года: настраивал мониторинг дрейфа данных, автоматизировал отчеты по метрикам (F1, AUC-PR).",2
"Потоковая обработка данных","3 года: разрабатывал Flink-пайплайны с оконными агрегациями, настраивал exactly-once семантику.",2
"Машинное обучение на больших данных","3 года: работал с Spark MLlib, оптимизировал распределенные вычисления (партиционирование, broadcast).",2
"Глубокое обучение для NLP","3 года: дообучал ruBERT для извлечения сущностей, работал с multilingual моделями.",2
"Обучение с подкреплением","3 года: реализовывал DDPG, PPO для управления роботами. Кастомизировал reward-функции.",2
"Методы машинного обучения","7 лет: проектировал ML-системы для high-load сервисов. Оптимизировал inference latency в 10 раз.",3
"SQL базы данных","8 лет: проектировал шардированные кластеры (PostgreSQL, Citus). Разрабатывал стратегии репликации.",3
"Глубокое обучение","6 лет: создавал архитектуры для мультимодальных моделей (текст + изображения). Публикации на NeurIPS.",3
"Анализ изображений и видео","5+ лет: разрабатывал real-time видеоаналитику (1000+ камер). Оптимизировал 3D CNN под edge-устройства.",3
"Статистические методы","10+ лет: автор методик Bayesian оптимизации для фармакологии. Консультировал FDA-проекты.",3
"Оценка качества методов ИИ","7 лет: создал фреймворк для мониторинга 100+ моделей в реальном времени. Снизил false-positive на 40%.",3
"Потоковая обработка данных","6 лет: архитектор системы обработки 1M событий/сек (Kafka + Flink). Настраивал stateful-обработку.",3
"Машинное обучение на больших данных","8 лет: разрабатывал feature store для 100TB+ данных. Оптимизировал Spark под GPU-кластеры.",3
"Глубокое обучение для NLP","7 лет: создал multilingual чат-бота с контекстным пониманием. Докладчик на ACL.",3
"Обучение с подкреплением","5+ лет: разработал агента для стратегических игр (StarCraft II). Патент на алгоритм.",3
"Go","1 год: писал CLI-утилиты (cobra), работал с goroutines/channels. Базовое понимание GC.",1
"Go","2 года: разрабатывал микросервисы (gRPC, protobuf). Профилирование (pprof) и оптимизация (например, снизил аллокации на 50%).",2
"Go","5+ лет: создавал distributed systems (например, blockchain ноды). Глубокое знание runtime (scheduler, escape analysis).",3
"C++","1 год: решал алгоритмические задачи (STL, базовые шаблоны). Писал многопоточные программы (std::thread).",1
"C++","4 года: разрабатывал high-performance системы (например, game engines). Работал с SIMD, CUDA. Управление памятью (RAII, smart pointers).",2
"C++","8+ лет: системное программирование (Linux kernel contributions). Эксперт по template metaprogramming, оптимизация CPU-bound задач.",3
"JavaScript","1 год: верстал SPA (React/Vue), писал простые API на Node.js (Express). Базовый Event Loop.",1
"JavaScript","3 года: разрабатывал PWA с оптимизацией под Web Vitals. Настраивал Webpack, работал с WebSockets.",2
"JavaScript","6+ лет: архитектор full-stack решений (Next.js/NestJS). Эксперт по V8, performance tuning (например, снизил TTI на 30%).",3
"Java","1 год: писал CRUD-приложения (Spring Boot), изучал multithreading (базовые ExecutorService).",1
"Java","3 года: разрабатывал distributed systems (Kafka, gRPC), оптимизировал GC под low-latency. Писал production-тесты (JUnit 5, TestContainers).",2
"Java","7+ лет: проектировал high-throughput системы (например, платежные шлюзы). Глубокое знание JVM (tuning, bytecode manipulation).",3
"Python","1 год: писал скрипты для автоматизации (Pandas, requests), решал задачи на LeetCode. Базовое понимание ООП.",1
"Python","2 года: разрабатывал REST API (FastAPI/Flask), работал с асинхронным кодом (asyncio). Писал тесты (pytest).",2
"Python","5+ лет: оптимизировал high-load сервисы (Cython, profiling), вносил вклад в open-source (например, в pandas). Архитектура микросервисов.",3
"Определения, история развития и главные тренды ИИ","Изучал основные определения и ключевые этапы развития искусственного интеллекта, знаком с современными трендами ИИ.","3"
"Определения, история развития и главные тренды ИИ","Имею общее представление об ИИ и его развитии, читал статьи по трендам.","2"
"Определения, история развития и главные тренды ИИ","Знаю, что такое искусственный интеллект.","1"
"Определения, история развития и главные тренды ИИ","Нет упоминаний об истории или трендах ИИ.","0"
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Опыт разработки ИИ-решений с использованием Docker, работы в Linux и управления версиями с Git.","3"
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Работал с Linux и Git, участвовал в разработке программного обеспечения.","2"
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Знаком с командной строкой Linux.","1"
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Не использовал Docker, Linux или Git в работе.","0"
"Статистические методы и первичный анализ данных","Применял статистические методы для анализа данных и визуализации результатов.","3"
"Статистические методы и первичный анализ данных","Выполнял базовый анализ данных с помощью Excel и Python.","2"
"Статистические методы и первичный анализ данных","Имею минимальные знания статистики.","1"
"Статистические методы и первичный анализ данных","Не использовал статистические методы.","0"
"Оценка качества работы методов ИИ","Оценивал эффективность моделей ИИ с использованием метрик точности, полноты и F1.","3"
"Оценка качества работы методов ИИ","Понимаю основные метрики оценки моделей.","2"
"Оценка качества работы методов ИИ","Знаком с понятием оценки моделей.","1"
"Оценка качества работы методов ИИ","Нет опыта оценки качества моделей.","0"
"Языки программирования и библиотеки (Python, C++)","Активно использую Python и C++ для разработки ИИ-приложений.","3"
"Языки программирования и библиотеки (Python, C++)","Пишу код на Python, базовые знания C++.","2"
"Языки программирования и библиотеки (Python, C++)","Знаю основы Python.","1"
"Языки программирования и библиотеки (Python, C++)","Не владею Python и C++.","0"
"SQL базы данных (GreenPLum, Postgres, Oracle)","Разрабатывал и оптимизировал запросы в PostgreSQL и Oracle, знаком с GreenPLum.","3"
"SQL базы данных (GreenPLum, Postgres, Oracle)","Использовал PostgreSQL для создания баз данных и написания запросов.","2"
"SQL базы данных (GreenPLum, Postgres, Oracle)","Понимаю основы SQL, выполнял простые запросы.","1"
"SQL базы данных (GreenPLum, Postgres, Oracle)","Не работал с SQL базами данных.","0"
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Имел опыт работы с MongoDB и ElasticSearch для хранения и поиска данных.","3"
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Знаком с MongoDB, использовал для проектов.","2"
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Понимаю концепцию NoSQL, но не применял на практике.","1"
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Нет опыта работы с NoSQL.","0"
"Hadoop, SPARK, Hive","Работал с большими данными на кластере Hadoop, использовал Spark для обработки и Hive для запросов.","3"
"Hadoop, SPARK, Hive","Знаком с Apache Spark, выполнял базовые операции.","2"
"Hadoop, SPARK, Hive","Изучал основы Hadoop и Spark.","1"
"Hadoop, SPARK, Hive","Не имел опыта работы с Hadoop и Spark.","0"
"Качество и предобработка данных, подходы и инструменты","Проводил очистку и подготовку данных с помощью Pandas и Scikit-learn, реализовывал pipeline обработки.","3"
"Качество и предобработка данных, подходы и инструменты","Работал с обработкой данных, применял фильтрацию и трансформацию.","2"
"Качество и предобработка данных, подходы и инструменты","Знаком с базовыми методами очистки данных.","1"
"Качество и предобработка данных, подходы и инструменты","Нет опыта в предобработке данных.","0"
"Работа с распределенной кластерной системой","Опыт работы с распределёнными системами, настройка и управление кластерами.","3"
"Работа с распределенной кластерной системой","Знаком с концепцией распределённых систем, работал с кластерами в учебных проектах.","2"
"Работа с распределенной кластерной системой","Имею представление о кластерах и распределённых вычислениях.","1"
"Работа с распределенной кластерной системой","Не работал с распределёнными системами.","0"

